Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.8753290000000001,0.9092290000000001,0.376103,0.891957,201,297,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9303,.,.,5412.000000,3474.000000,,1.5578583765112262,1325,.,.,900.000000,135.000000,,6.666666666666667,16881,.,.,10703.000000,5913.000000,,1.8100794858785727,9576,.,.,5969.000000,3476.000000,,1.717203682393556,956,.,.,695.000000,259.000000,,2.6833976833976836,6349,.,.,4039.000000,2178.000000,,1.8544536271809
INDEL,*,*,PASS,*,QUAL,*,0.8753290000000001,0.9092290000000001,0.376103,0.891957,201,297,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9303,.,.,5412.000000,3474.000000,,1.5578583765112262,1325,.,.,900.000000,135.000000,,6.666666666666667,16881,.,.,10703.000000,5913.000000,,1.8100794858785727,9576,.,.,5969.000000,3476.000000,,1.717203682393556,956,.,.,695.000000,259.000000,,2.6833976833976836,6349,.,.,4039.000000,2178.000000,,1.8544536271809
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.727273,1.0,0.925926,0.8421049999999999,0,0,64274167.000000,56613271.000000,0.000000,11,.,.,7.000000,4.000000,,1.75,8,.,.,6.000000,2.000000,,3.0,3,.,.,1.000000,2.000000,,0.5,108,.,.,77.000000,31.000000,,2.4838709677419355,8,.,.,6.000000,2.000000,,3.0,0,.,.,0.000000,0.000000,,,100,.,.,71.000000,29.000000,,2.4482758620689653
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.727273,1.0,0.925926,0.8421049999999999,0,0,64274167.000000,56613271.000000,0.000000,11,.,.,7.000000,4.000000,,1.75,8,.,.,6.000000,2.000000,,3.0,3,.,.,1.000000,2.000000,,0.5,108,.,.,77.000000,31.000000,,2.4838709677419355,8,.,.,6.000000,2.000000,,3.0,0,.,.,0.000000,0.000000,,,100,.,.,71.000000,29.000000,,2.4482758620689653
INDEL,*,TS_contained,ALL,*,QUAL,*,0.875483,0.9091600000000001,0.0,0.8920040000000001,201,297,56613271.000000,56613271.000000,0.000000,10617,.,.,6305.000000,3605.000000,,1.7489597780859916,9295,.,.,5406.000000,3472.000000,,1.5570276497695852,1322,.,.,899.000000,133.000000,,6.7593984962406015,10524,.,.,6658.000000,3733.000000,,1.7835521028663273,9568,.,.,5963.000000,3474.000000,,1.7164651698330455,956,.,.,695.000000,259.000000,,2.6833976833976836,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.875483,0.9091600000000001,0.0,0.8920040000000001,201,297,56613271.000000,56613271.000000,0.000000,10617,.,.,6305.000000,3605.000000,,1.7489597780859916,9295,.,.,5406.000000,3472.000000,,1.5570276497695852,1322,.,.,899.000000,133.000000,,6.7593984962406015,10524,.,.,6658.000000,3733.000000,,1.7835521028663273,9568,.,.,5963.000000,3474.000000,,1.7164651698330455,956,.,.,695.000000,259.000000,,2.6833976833976836,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
