Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.9869209999999999,0.9953540000000001,0.447809,0.9911200000000001,11,40,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,10489,.,.,6214.000000,3600.000000,,1.7261111111111112,139,.,.,98.000000,9.000000,,10.88888888888889,19879,.,.,13151.000000,6194.000000,,2.123183726186632,10926,.,.,7107.000000,3603.000000,,1.9725228975853455,51,.,.,25.000000,25.000000,,1.0,8902,.,.,6019.000000,2566.000000,,2.3456742010911924
INDEL,*,*,PASS,*,QUAL,*,0.9869209999999999,0.9953540000000001,0.447809,0.9911200000000001,11,40,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,10489,.,.,6214.000000,3600.000000,,1.7261111111111112,139,.,.,98.000000,9.000000,,10.88888888888889,19879,.,.,13151.000000,6194.000000,,2.123183726186632,10926,.,.,7107.000000,3603.000000,,1.9725228975853455,51,.,.,25.000000,25.000000,,1.0,8902,.,.,6019.000000,2566.000000,,2.3456742010911924
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.666667,1.0,0.9393940000000001,0.8,0,0,64274167.000000,56613271.000000,0.000000,12,.,.,8.000000,4.000000,,2.0,8,.,.,6.000000,2.000000,,3.0,4,.,.,2.000000,2.000000,,1.0,132,.,.,102.000000,30.000000,,3.4,8,.,.,6.000000,2.000000,,3.0,0,.,.,0.000000,0.000000,,,124,.,.,96.000000,28.000000,,3.4285714285714284
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.666667,1.0,0.9393940000000001,0.8,0,0,64274167.000000,56613271.000000,0.000000,12,.,.,8.000000,4.000000,,2.0,8,.,.,6.000000,2.000000,,3.0,4,.,.,2.000000,2.000000,,1.0,132,.,.,102.000000,30.000000,,3.4,8,.,.,6.000000,2.000000,,3.0,0,.,.,0.000000,0.000000,,,124,.,.,96.000000,28.000000,,3.4285714285714284
INDEL,*,TS_contained,ALL,*,QUAL,*,0.987283,0.995351,0.0,0.991301,11,40,56613271.000000,56613271.000000,0.000000,10616,.,.,6304.000000,3605.000000,,1.7486823855755895,10481,.,.,6208.000000,3598.000000,,1.7254030016675932,135,.,.,96.000000,7.000000,,13.714285714285714,10969,.,.,7126.000000,3626.000000,,1.9652509652509653,10918,.,.,7101.000000,3601.000000,,1.9719522354901415,51,.,.,25.000000,25.000000,,1.0,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.987283,0.995351,0.0,0.991301,11,40,56613271.000000,56613271.000000,0.000000,10616,.,.,6304.000000,3605.000000,,1.7486823855755895,10481,.,.,6208.000000,3598.000000,,1.7254030016675932,135,.,.,96.000000,7.000000,,13.714285714285714,10969,.,.,7126.000000,3626.000000,,1.9652509652509653,10918,.,.,7101.000000,3601.000000,,1.9719522354901415,51,.,.,25.000000,25.000000,,1.0,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
