Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.263455,0.035383,0.14862999999999998,0.062387,354,11330,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,2800,.,.,1233.000000,1527.000000,,0.8074656188605108,7828,.,.,5079.000000,2082.000000,,2.4394812680115274,92949,.,.,31828.000000,51381.000000,,0.6194507697397871,2800,.,.,1233.000000,1527.000000,,0.8074656188605108,76334,.,.,27479.000000,40859.000000,,0.672532367409873,13815,.,.,3116.000000,8995.000000,,0.34641467481934407
INDEL,*,*,PASS,*,QUAL,*,0.263455,0.035383,0.14862999999999998,0.062387,354,11330,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,2800,.,.,1233.000000,1527.000000,,0.8074656188605108,7828,.,.,5079.000000,2082.000000,,2.4394812680115274,92949,.,.,31828.000000,51381.000000,,0.6194507697397871,2800,.,.,1233.000000,1527.000000,,0.8074656188605108,76334,.,.,27479.000000,40859.000000,,0.672532367409873,13815,.,.,3116.000000,8995.000000,,0.34641467481934407
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.628571,0.11578900000000002,0.66899,0.195556,2,68,64274167.000000,56613271.000000,0.000000,35,.,.,13.000000,21.000000,,0.6190476190476191,22,.,.,5.000000,17.000000,,0.29411764705882354,13,.,.,8.000000,4.000000,,2.0,574,.,.,106.000000,393.000000,,0.2697201017811705,22,.,.,5.000000,17.000000,,0.29411764705882354,168,.,.,49.000000,105.000000,,0.4666666666666667,384,.,.,52.000000,271.000000,,0.1918819188191882
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.628571,0.11578900000000002,0.66899,0.195556,2,68,64274167.000000,56613271.000000,0.000000,35,.,.,13.000000,21.000000,,0.6190476190476191,22,.,.,5.000000,17.000000,,0.29411764705882354,13,.,.,8.000000,4.000000,,2.0,574,.,.,106.000000,393.000000,,0.2697201017811705,22,.,.,5.000000,17.000000,,0.29411764705882354,168,.,.,49.000000,105.000000,,0.4666666666666667,384,.,.,52.000000,271.000000,,0.1918819188191882
INDEL,*,TS_contained,ALL,*,QUAL,*,0.26224899999999995,0.03519,0.0,0.062053,352,11262,56613271.000000,56613271.000000,0.000000,10593,.,.,6299.000000,3588.000000,,1.7555741360089185,2778,.,.,1228.000000,1510.000000,,0.8132450331125828,7815,.,.,5071.000000,2078.000000,,2.440327237728585,78944,.,.,28658.000000,42264.000000,,0.678071171682756,2778,.,.,1228.000000,1510.000000,,0.8132450331125828,76166,.,.,27430.000000,40754.000000,,0.6730627668449722,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.26224899999999995,0.03519,0.0,0.062053,352,11262,56613271.000000,56613271.000000,0.000000,10593,.,.,6299.000000,3588.000000,,1.7555741360089185,2778,.,.,1228.000000,1510.000000,,0.8132450331125828,7815,.,.,5071.000000,2078.000000,,2.440327237728585,78944,.,.,28658.000000,42264.000000,,0.678071171682756,2778,.,.,1228.000000,1510.000000,,0.8132450331125828,76166,.,.,27430.000000,40754.000000,,0.6730627668449722,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
