Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.8810690000000001,0.9256629999999999,0.43086899999999995,0.902816,121,506,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9364,.,.,5626.000000,3256.000000,,1.7278869778869779,1264,.,.,686.000000,353.000000,,1.9433427762039661,18342,.,.,11853.000000,5864.000000,,2.0213165075034105,9663,.,.,6246.000000,3252.000000,,1.9206642066420665,776,.,.,578.000000,129.000000,,4.48062015503876,7903,.,.,5029.000000,2483.000000,,2.0253725332259362
INDEL,*,*,PASS,*,QUAL,*,0.8810690000000001,0.9256629999999999,0.43086899999999995,0.902816,121,506,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9364,.,.,5626.000000,3256.000000,,1.7278869778869779,1264,.,.,686.000000,353.000000,,1.9433427762039661,18342,.,.,11853.000000,5864.000000,,2.0213165075034105,9663,.,.,6246.000000,3252.000000,,1.9206642066420665,776,.,.,578.000000,129.000000,,4.48062015503876,7903,.,.,5029.000000,2483.000000,,2.0253725332259362
INDEL,*,TS_boundary,ALL,*,QUAL,*,1.0,1.0,0.894309,1.0,0,0,64274167.000000,56613271.000000,0.000000,13,.,.,9.000000,4.000000,,2.25,13,.,.,9.000000,4.000000,,2.25,0,.,.,0.000000,0.000000,,,123,.,.,90.000000,32.000000,,2.8125,13,.,.,9.000000,4.000000,,2.25,0,.,.,0.000000,0.000000,,,110,.,.,81.000000,28.000000,,2.892857142857143
INDEL,*,TS_boundary,PASS,*,QUAL,*,1.0,1.0,0.894309,1.0,0,0,64274167.000000,56613271.000000,0.000000,13,.,.,9.000000,4.000000,,2.25,13,.,.,9.000000,4.000000,,2.25,0,.,.,0.000000,0.000000,,,123,.,.,90.000000,32.000000,,2.8125,13,.,.,9.000000,4.000000,,2.25,0,.,.,0.000000,0.000000,,,110,.,.,81.000000,28.000000,,2.892857142857143
INDEL,*,TS_contained,ALL,*,QUAL,*,0.880923,0.9255709999999999,0.0,0.902695,121,506,56613271.000000,56613271.000000,0.000000,10615,.,.,6303.000000,3605.000000,,1.7484049930651873,9351,.,.,5617.000000,3252.000000,,1.7272447724477245,1264,.,.,686.000000,353.000000,,1.9433427762039661,10426,.,.,6815.000000,3377.000000,,2.0180633698549006,9650,.,.,6237.000000,3248.000000,,1.9202586206896552,776,.,.,578.000000,129.000000,,4.48062015503876,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.880923,0.9255709999999999,0.0,0.902695,121,506,56613271.000000,56613271.000000,0.000000,10615,.,.,6303.000000,3605.000000,,1.7484049930651873,9351,.,.,5617.000000,3252.000000,,1.7272447724477245,1264,.,.,686.000000,353.000000,,1.9433427762039661,10426,.,.,6815.000000,3377.000000,,2.0180633698549006,9650,.,.,6237.000000,3248.000000,,1.9202586206896552,776,.,.,578.000000,129.000000,,4.48062015503876,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
