Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.41164799999999996,0.752754,0.39526500000000003,0.532239,957,396,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,4375,.,.,2696.000000,1570.000000,,1.7171974522292994,6253,.,.,3616.000000,2039.000000,,1.773418342324669,9758,.,.,6807.000000,2800.000000,,2.4310714285714288,4442,.,.,2834.000000,1570.000000,,1.805095541401274,1459,.,.,1240.000000,192.000000,,6.458333333333333,3857,.,.,2733.000000,1038.000000,,2.632947976878613
INDEL,*,*,PASS,*,QUAL,*,0.41164799999999996,0.752754,0.39526500000000003,0.532239,957,396,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,4375,.,.,2696.000000,1570.000000,,1.7171974522292994,6253,.,.,3616.000000,2039.000000,,1.773418342324669,9758,.,.,6807.000000,2800.000000,,2.4310714285714288,4442,.,.,2834.000000,1570.000000,,1.805095541401274,1459,.,.,1240.000000,192.000000,,6.458333333333333,3857,.,.,2733.000000,1038.000000,,2.632947976878613
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.545455,0.75,0.8461540000000001,0.631579,2,0,64274167.000000,56613271.000000,0.000000,11,.,.,7.000000,4.000000,,1.75,6,.,.,3.000000,3.000000,,1.0,5,.,.,4.000000,1.000000,,4.0,52,.,.,34.000000,18.000000,,1.8888888888888888,6,.,.,3.000000,3.000000,,1.0,2,.,.,1.000000,1.000000,,1.0,44,.,.,30.000000,14.000000,,2.142857142857143
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.545455,0.75,0.8461540000000001,0.631579,2,0,64274167.000000,56613271.000000,0.000000,11,.,.,7.000000,4.000000,,1.75,6,.,.,3.000000,3.000000,,1.0,5,.,.,4.000000,1.000000,,4.0,52,.,.,34.000000,18.000000,,1.8888888888888888,6,.,.,3.000000,3.000000,,1.0,2,.,.,1.000000,1.000000,,1.0,44,.,.,30.000000,14.000000,,2.142857142857143
INDEL,*,TS_contained,ALL,*,QUAL,*,0.41151000000000004,0.752758,0.0,0.5321239999999999,955,396,56613271.000000,56613271.000000,0.000000,10617,.,.,6305.000000,3605.000000,,1.7489597780859916,4369,.,.,2693.000000,1567.000000,,1.7185705169112955,6248,.,.,3612.000000,2038.000000,,1.7723258096172718,5893,.,.,4070.000000,1758.000000,,2.3151308304891924,4436,.,.,2831.000000,1567.000000,,1.8066368857689854,1457,.,.,1239.000000,191.000000,,6.486910994764398,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.41151000000000004,0.752758,0.0,0.5321239999999999,955,396,56613271.000000,56613271.000000,0.000000,10617,.,.,6305.000000,3605.000000,,1.7489597780859916,4369,.,.,2693.000000,1567.000000,,1.7185705169112955,6248,.,.,3612.000000,2038.000000,,1.7723258096172718,5893,.,.,4070.000000,1758.000000,,2.3151308304891924,4436,.,.,2831.000000,1567.000000,,1.8066368857689854,1457,.,.,1239.000000,191.000000,,6.486910994764398,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
