Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.919364,0.949859,0.43634300000000004,0.9343629999999999,77,369,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9771,.,.,5847.000000,3399.000000,,1.7202118270079436,857,.,.,465.000000,210.000000,,2.2142857142857144,18859,.,.,11971.000000,6258.000000,,1.912911473314158,10097,.,.,6525.000000,3395.000000,,1.9219440353460973,533,.,.,376.000000,95.000000,,3.957894736842105,8229,.,.,5070.000000,2768.000000,,1.8316473988439306
INDEL,*,*,PASS,*,QUAL,*,0.919364,0.949859,0.43634300000000004,0.9343629999999999,77,369,64274167,56613271.000000,0.000000,10628,.,.,6312.000000,3609.000000,,1.7489609310058187,9771,.,.,5847.000000,3399.000000,,1.7202118270079436,857,.,.,465.000000,210.000000,,2.2142857142857144,18859,.,.,11971.000000,6258.000000,,1.912911473314158,10097,.,.,6525.000000,3395.000000,,1.9219440353460973,533,.,.,376.000000,95.000000,,3.957894736842105,8229,.,.,5070.000000,2768.000000,,1.8316473988439306
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.923077,1.0,0.9,0.96,0,0,64274167.000000,56613271.000000,0.000000,13,.,.,9.000000,4.000000,,2.25,12,.,.,8.000000,4.000000,,2.0,1,.,.,1.000000,0.000000,,,120,.,.,88.000000,32.000000,,2.75,12,.,.,8.000000,4.000000,,2.0,0,.,.,0.000000,0.000000,,,108,.,.,80.000000,28.000000,,2.857142857142857
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.923077,1.0,0.9,0.96,0,0,64274167.000000,56613271.000000,0.000000,13,.,.,9.000000,4.000000,,2.25,12,.,.,8.000000,4.000000,,2.0,1,.,.,1.000000,0.000000,,,120,.,.,88.000000,32.000000,,2.75,12,.,.,8.000000,4.000000,,2.0,0,.,.,0.000000,0.000000,,,108,.,.,80.000000,28.000000,,2.857142857142857
INDEL,*,TS_contained,ALL,*,QUAL,*,0.919359,0.949802,0.0,0.934333,77,369,56613271.000000,56613271.000000,0.000000,10615,.,.,6303.000000,3605.000000,,1.7484049930651873,9759,.,.,5839.000000,3395.000000,,1.7198821796759942,856,.,.,464.000000,210.000000,,2.2095238095238097,10618,.,.,6893.000000,3486.000000,,1.9773379231210557,10085,.,.,6517.000000,3391.000000,,1.9218519610734297,533,.,.,376.000000,95.000000,,3.957894736842105,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.919359,0.949802,0.0,0.934333,77,369,56613271.000000,56613271.000000,0.000000,10615,.,.,6303.000000,3605.000000,,1.7484049930651873,9759,.,.,5839.000000,3395.000000,,1.7198821796759942,856,.,.,464.000000,210.000000,,2.2095238095238097,10618,.,.,6893.000000,3486.000000,,1.9773379231210557,10085,.,.,6517.000000,3391.000000,,1.9218519610734297,533,.,.,376.000000,95.000000,,3.957894736842105,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_boundary,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,56613271.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,TS_contained,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,56613271.000000,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C1_5,*,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,64274167,56613271.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
