source,model_kind,modality,model_family,name,partition,scope,scope_type,comparable_scope,groups,variant_type,n,acc,macro_f1,macro_recall,macro_precision,weighted_f1,variant_precision,variant_recall,variant_specificity,variant_balanced_acc,variant_f1,variant_f2,variant_tp,variant_tn,variant_fp,variant_fn,binary_acc,binary_balanced_acc,binary_precision,binary_recall,binary_specificity,binary_f1,binary_f2
teacher,teacher,illumina,,dv_illumina,test,illumina_view,view,illumina_view,"10,11",ALL,260005,0.9977692736678141,0.9977344292274832,0.9978928459420872,0.9975770823131501,0.9977700013717459,0.9974362477597306,0.9985919232718875,0.9976496072854806,0.9981207652786841,0.9980137509544273,0.9983605739758827,124108,135403,319,175,0.9981000365377589,0.9981207652786841,0.9974362477597306,0.9985919232718875,0.9976496072854806,0.9980137509544273,0.9983605739758827
teacher,teacher,illumina,,dv_illumina,test,illumina_view_SNP,view_variant_type,illumina_view_SNP,"10,11",SNP,242328,0.9978335149054175,0.9977840862603946,0.9979636570422161,0.9976056292501432,0.9978342684652313,0.9973579213267519,0.9985790376778437,0.9977306182531894,0.9981548279655166,0.9979681059616575,0.998334575253947,111737,130136,296,159,0.9981223795846951,0.9981548279655166,0.9973579213267519,0.9985790376778437,0.9977306182531894,0.9979681059616575,0.998334575253947
teacher,teacher,illumina,,dv_illumina,test,illumina_view_INDEL,view_variant_type,illumina_view_INDEL,"10,11",INDEL,17677,0.9968886123210952,0.9969114513498251,0.9968507831601991,0.9969729459045372,0.9968888782952418,0.9981442633532353,0.9987083232421086,0.9956521739130433,0.9971802485775759,0.998426213630911,0.998595460269084,12371,5267,23,16,0.9977937432822311,0.9971802485775759,0.9981442633532353,0.9987083232421086,0.9956521739130433,0.998426213630911,0.998595460269084
teacher,teacher,illumina,,dv_illumina,test,group_10,group,group_10,10,ALL,137519,0.9977748529294134,0.9608818346766355,0.9925864051829612,0.9350443505646457,0.997881903113752,0.8823529411764702,0.9934701492537309,0.9979021237303786,0.9956861364920547,0.9346204475642226,0.9690627843491938,2130,135091,284,14,0.9978330267090366,0.9956861364920547,0.8823529411764702,0.9934701492537309,0.9979021237303786,0.9346204475642226,0.9690627843491938
teacher,teacher,illumina,,dv_illumina,test,group_11,group,group_11,11,ALL,122486,0.9977630096500825,0.9194110758475084,0.9651490265217676,0.8859414923893061,0.9978849904544937,0.9997131453205806,0.9986818297185993,0.8991354466858763,0.9489086382022378,0.9991972214025604,0.998887922576937,121978,312,35,161,0.9983998171219568,0.9489086382022378,0.9997131453205806,0.9986818297185993,0.8991354466858763,0.9991972214025604,0.998887922576937
teacher,teacher,illumina,,dv_illumina,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,242328,0.9978335149054175,0.9977840862603946,0.9979636570422161,0.9976056292501432,0.9978342684652313,0.9973579213267519,0.9985790376778437,0.9977306182531894,0.9981548279655166,0.9979681059616575,0.998334575253947,111737,130136,296,159,0.9981223795846951,0.9981548279655166,0.9973579213267519,0.9985790376778437,0.9977306182531894,0.9979681059616575,0.998334575253947
teacher,teacher,illumina,,dv_illumina,test,variant_INDEL,variant_type,variant_INDEL,ALL,INDEL,17677,0.9968886123210952,0.9969114513498251,0.9968507831601991,0.9969729459045372,0.9968888782952418,0.9981442633532353,0.9987083232421086,0.9956521739130433,0.9971802485775759,0.998426213630911,0.998595460269084,12371,5267,23,16,0.9977937432822311,0.9971802485775759,0.9981442633532353,0.9987083232421086,0.9956521739130433,0.998426213630911,0.998595460269084
teacher,teacher,ont,,dv_ont,test,ont_view,view,ont_view,"1,11",ALL,401059,0.9973320633622484,0.9962440591002745,0.9952307872563003,0.9972751285177929,0.9973269553780908,0.9988545996007462,0.9940319652176745,0.9994968336460153,0.9967643994318449,0.9964374472039366,0.9949927629775417,122088,278098,140,733,0.997823262911442,0.9967643994318449,0.9988545996007462,0.9940319652176745,0.9994968336460153,0.9964374472039366,0.9949927629775417
teacher,teacher,ont,,dv_ont,test,ont_view_SNP,view_variant_type,ont_view_SNP,"1,11",SNP,122685,0.9971634674165546,0.9946958411438919,0.9950964507487713,0.9942966758659697,0.9971644904823074,0.9989735900250801,0.9987061773340115,0.9891652534388542,0.9939357153864328,0.998839865780895,0.9987596484181287,111926,10499,115,145,0.9978807515181155,0.9939357153864328,0.9989735900250801,0.9987061773340115,0.9891652534388542,0.998839865780895,0.9987596484181287
teacher,teacher,ont,,dv_ont,test,ont_view_INDEL,view_variant_type,ont_view_INDEL,"1,11",INDEL,278374,0.9974063669739271,0.9741400571032909,0.9599821489016868,0.9903833246537177,0.9973370575894406,0.9975458918229114,0.9453023255813952,0.9999065853585628,0.972604455469979,0.9707216888756524,0.9553086280480134,10162,267599,25,588,0.9977979265304949,0.972604455469979,0.9975458918229114,0.9453023255813952,0.9999065853585628,0.9707216888756524,0.9553086280480134
teacher,teacher,ont,,dv_ont,test,group_1,group,group_1,1,ALL,278573,0.9987435968309922,0.8493106376580651,0.846716476083306,0.856526099761441,0.9986933866879933,0.7918032786885233,0.7082111436950136,0.9995429862787928,0.8538770649869032,0.7476780185753518,0.7234871180345634,483,277764,127,199,0.9988297501911527,0.8538770649869032,0.7918032786885233,0.7082111436950136,0.9995429862787928,0.7476780185753518,0.7234871180345634
teacher,teacher,ont,,dv_ont,test,group_11,group,group_11,11,ALL,122486,0.9941217771826985,0.8476162965147935,0.9839787405358988,0.7938471347809376,0.9950672283878108,0.9998931079281027,0.9956279321101368,0.9625360230547522,0.9790819775824444,0.9977559618795689,0.9964780538008474,121605,334,13,534,0.9955341834985223,0.9790819775824444,0.9998931079281027,0.9956279321101368,0.9625360230547522,0.9977559618795689,0.9964780538008474
teacher,teacher,ont,,dv_ont,test,variant_SNP,variant_type,variant_SNP,ALL,SNP,122685,0.9971634674165546,0.9946958411438919,0.9950964507487713,0.9942966758659697,0.9971644904823074,0.9989735900250801,0.9987061773340115,0.9891652534388542,0.9939357153864328,0.998839865780895,0.9987596484181287,111926,10499,115,145,0.9978807515181155,0.9939357153864328,0.9989735900250801,0.9987061773340115,0.9891652534388542,0.998839865780895,0.9987596484181287
