sample	tech	region_tag	bam	chrom	length	bases	mean
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	chr20	64444167	3616693962	56.12
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	chr20_region	64444167	3616693962	56.12
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	chr21	46709983	2206680876	47.24
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	chr21_region	46709983	2206680876	47.24
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	total	111154150	5823374838	52.39
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	total_region	111154150	5823374838	52.39
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	chr20	64444167	3232731632	50.16
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	chr20_region	64444167	3232731632	50.16
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	chr21	46709983	2248908624	48.15
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	chr21_region	46709983	2248908624	48.15
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	total	111154150	5481640256	49.32
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	total_region	111154150	5481640256	49.32
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	chr20	64444167	6223408895	96.57
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	chr20_region	64444167	6223408895	96.57
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	chr21	46709983	4305917844	92.18
