sample	tech	region_tag	bam	mean_chr20	mean_chr20_region	mean_chr21	mean_chr21_region	mean_total_region	mean_total
HG002	Illumina	chr20_chr21	data/1_input_bams/HG002/Illumina/HG002.GRCh38.2x250.chr20_chr21.bam	56.12	56.12	47.24	47.24	52.39	52.39
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337.chr20_chr21.bam	50.16	50.16	48.15	48.15	49.32	49.32
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW70337_PAW71238.chr20_chr21.bam	96.57	96.57	92.18	92.18	94.73	94.73
HG002	ONT	chr20_chr21	data/1_input_bams/HG002/ONT/HG002.GRCh38.ONT_R104_sup_PAW71238.chr20_chr21.bam	46.41	46.41	44.04	44.04	45.41	45.41
HG003	Illumina	chr20	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20.bam	48.61	48.61			48.61	48.61
HG003	Illumina	chr20_chr21	data/1_input_bams/HG003/Illumina/HG003.GRCh38.2x250.chr20_chr21.bam	48.61	48.61	40.75	40.75	45.31	45.31
HG003	ONT	chr20	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20.bam	40.67	40.67			40.67	40.67
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794.chr20_chr21.bam	40.67	40.67	37.74	37.74	39.44	39.44
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87794_PAY87954.chr20_chr21.bam	74.35	74.35	69.11	69.11	72.15	72.15
HG003	ONT	chr20_chr21	data/1_input_bams/HG003/ONT/HG003.GRCh38.ONT_R104_sup_PAY87954.chr20_chr21.bam	33.68	33.68	31.37	31.37	32.71	32.71
HG004	Illumina	chr20_chr21	data/1_input_bams/HG004/Illumina/HG004.GRCh38.2x250.chr20_chr21.bam	54.28	54.28	45.22	45.22	50.47	50.47
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778.chr20_chr21.bam	30.68	30.68	28.87	28.87	29.92	29.92
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY87778_PAY88428.chr20_chr21.bam	68.64	68.64	64.24	64.24	66.79	66.79
HG004	ONT	chr20_chr21	data/1_input_bams/HG004/ONT/HG004.GRCh38.ONT_R104_sup_PAY88428.chr20_chr21.bam	37.96	37.96	35.37	35.37	36.87	36.87
HG005	Illumina	chr20_chr21	data/1_input_bams/HG005/Illumina/HG005.GRCh38.300x.chr20_chr21.bam	299.58	299.58	260.47	260.47	283.14	283.14
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816.chr20_chr21.bam	28.73	28.73	28.38	28.38	28.58	28.58
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW87816_PAW88001.chr20_chr21.bam	59.22	59.22	58.45	58.45	58.90	58.90
HG005	ONT	chr20_chr21	data/1_input_bams/HG005/ONT/HG005.GRCh38.ONT_R104_sup_PAW88001.chr20_chr21.bam	30.48	30.48	30.08	30.08	30.31	30.31
